iter	Passed	Remaining
472	728	811
473	729	809
474	731	808
475	732	806
476	734	804
477	736	803
478	737	802
479	739	800
480	740	799
481	742	797
482	743	795
483	744	794
484	746	792
485	747	790
486	749	789
487	751	788
488	753	786
489	754	785
490	756	783
491	757	782
492	759	780
493	760	778
494	761	777
495	763	775
496	764	773
497	766	772
498	767	771
499	769	769
500	771	768
501	772	766
502	773	764
503	775	763
504	776	761
505	778	760
506	779	758
507	781	756
508	783	755
509	784	753
510	786	752
511	787	750
512	789	749
513	790	747
514	792	746
515	793	744
516	795	742
517	796	741
518	797	739
519	799	738
520	801	736
521	802	735
522	804	733
523	806	732
524	807	730
525	808	728
526	810	727
527	812	725
528	813	724
529	815	722
530	816	721
531	818	719
532	819	718
533	821	716
534	822	715
535	824	713
536	825	711
537	826	710
538	828	708
539	829	706
540	831	705
541	833	703
542	834	702
543	835	700
544	837	699
545	838	697
546	840	695
547	841	694
548	842	692
549	844	690
550	845	689
551	847	687
552	848	686
553	850	684
554	851	683
555	853	681
556	854	679
557	856	678
558	858	676
559	859	675
560	861	673
561	863	672
562	865	671
563	866	670
564	868	668
565	870	667
566	872	665
567	873	664
568	875	663
569	877	661
570	879	660
571	883	660
572	886	660
573	888	659
574	891	658
575	893	657
576	895	656
577	898	656
578	901	655
579	905	655
580	907	654
581	909	653
582	913	653
583	915	652
584	917	651
585	920	650
586	923	649
587	927	649
588	931	649
589	933	648
590	935	647
591	938	646
592	941	646
593	945	646
594	948	645
595	950	644
596	953	643
597	955	642
598	957	640
599	960	640
600	962	639
601	964	637
602	966	636
603	967	634
604	969	632
605	970	631
606	972	629
607	975	628
608	977	627
609	979	626
610	981	624
611	983	623
612	985	621
613	986	620
614	988	619
615	991	617
616	993	616
617	994	615
618	996	613
619	998	612
620	1000	610
621	1002	609
622	1004	607
623	1007	607
624	1009	605
625	1011	604
626	1013	602
627	1015	601
628	1017	599
629	1018	598
630	1020	596
631	1024	596
632	1026	595
633	1028	593
634	1030	592
635	1032	590
636	1033	589
637	1035	587
638	1037	586
639	1039	584
640	1042	583
641	1043	582
642	1045	580
643	1047	579
644	1049	577
645	1050	575
646	1052	574
647	1055	573
648	1057	571
649	1059	570
650	1061	568
651	1062	567
652	1064	565
653	1066	563
654	1067	562
655	1069	561
656	1072	559
657	1074	558
658	1076	556
659	1077	555
660	1079	553
661	1082	552
662	1084	551
663	1086	549
664	1088	548
665	1090	546
666	1092	545
667	1094	543
668	1096	542
669	1098	540
670	1099	539
671	1101	537
672	1103	536
673	1104	534
674	1106	532
675	1108	531
676	1109	529
677	1111	527
678	1112	525
679	1114	524
680	1115	522
681	1117	521
682	1119	519
683	1120	517
684	1122	516
685	1123	514
686	1125	512
687	1126	510
688	1128	509
689	1129	507
690	1130	505
691	1132	503
692	1134	502
693	1135	500
694	1137	499
695	1138	497
696	1139	495
697	1141	493
698	1142	491
699	1143	490
700	1145	488
701	1146	486
702	1148	485
703	1150	483
704	1151	481
705	1153	480
706	1154	478
707	1156	476
708	1157	475
709	1159	473
710	1160	471
711	1162	470
712	1163	468
713	1165	466
714	1166	465
715	1168	463
716	1169	461
717	1171	460
718	1172	458
719	1174	456
720	1175	454
721	1177	453
722	1178	451
723	1180	449
724	1182	448
725	1183	446
726	1185	444
727	1186	443
728	1187	441
729	1189	439
730	1190	438
731	1192	436
732	1193	434
733	1195	433
734	1196	431
735	1198	429
736	1199	428
737	1200	426
738	1202	424
739	1203	422
740	1205	421
741	1206	419
742	1207	417
743	1209	416
744	1210	414
745	1212	412
746	1214	411
747	1215	409
748	1217	407
749	1218	406
750	1219	404
751	1221	402
752	1222	401
753	1224	399
754	1225	397
755	1227	396
756	1229	394
757	1230	392
758	1232	391
759	1233	389
760	1235	387
761	1236	386
762	1237	384
763	1239	382
764	1241	381
765	1242	379
766	1244	378
767	1246	376
768	1247	374
769	1249	373
770	1250	371
771	1252	369
772	1254	368
773	1255	366
774	1257	364
775	1258	363
776	1260	361
777	1262	360
778	1264	358
779	1265	357
780	1267	355
781	1268	353
782	1269	351
783	1271	350
784	1272	348
785	1274	346
786	1275	345
787	1277	343
788	1278	341
789	1279	340
790	1281	338
791	1282	336
792	1283	335
793	1285	333
794	1286	331
795	1287	330
796	1289	328
797	1290	326
798	1292	325
799	1293	323
800	1295	321
801	1296	320
802	1298	318
803	1299	316
804	1300	315
805	1302	313
806	1303	311
807	1305	310
808	1306	308
809	1308	306
810	1309	305
811	1311	303
812	1312	301
813	1313	300
814	1315	298
815	1316	296
816	1317	295
817	1319	293
818	1320	291
819	1321	290
820	1323	288
821	1325	286
822	1326	285
823	1327	283
824	1329	281
825	1330	280
826	1332	278
827	1333	277
828	1335	275
829	1336	273
830	1338	272
831	1339	270
832	1341	268
833	1342	267
834	1344	265
835	1345	263
836	1347	262
837	1348	260
838	1350	259
839	1351	257
840	1353	255
841	1354	254
842	1356	252
843	1357	250
844	1359	249
845	1360	247
846	1362	246
847	1363	244
848	1365	242
849	1366	241
850	1367	239
851	1369	237
852	1371	236
853	1372	234
854	1374	233
855	1375	231
856	1377	229
857	1378	228
858	1379	226
859	1381	224
860	1382	223
861	1383	221
862	1385	219
863	1387	218
864	1389	216
865	1390	215
866	1392	213
867	1394	211
868	1395	210
869	1396	208
870	1398	207
871	1399	205
872	1401	203
873	1402	202
874	1404	200
875	1405	199
876	1407	197
877	1408	195
878	1410	194
879	1411	192
880	1413	190
881	1414	189
882	1416	187
883	1417	186
884	1419	184
885	1421	182
886	1422	181
887	1424	179
888	1425	177
889	1426	176
890	1428	174
891	1429	173
892	1431	171
893	1432	169
894	1435	168
895	1437	166
896	1439	165
897	1441	163
898	1443	162
899	1445	160
900	1447	159
901	1448	157
902	1450	155
903	1451	154
904	1453	152
905	1455	151
906	1457	149
907	1458	147
908	1460	146
909	1461	144
910	1463	142
911	1464	141
912	1466	139
913	1468	138
914	1470	136
915	1472	135
916	1474	133
917	1475	131
918	1476	130
919	1478	128
920	1479	126
921	1481	125
922	1483	123
923	1484	122
924	1486	120
925	1488	118
926	1490	117
927	1491	115
928	1493	114
929	1494	112
930	1496	110
931	1497	109
932	1499	107
933	1501	106
934	1503	104
935	1504	102
936	1506	101
937	1507	99
938	1509	98
939	1510	96
940	1511	94
941	1513	93
942	1515	91
943	1516	89
944	1518	88
945	1519	86
946	1521	85
947	1522	83
948	1524	81
949	1525	80
950	1527	78
951	1528	77
952	1530	75
953	1532	73
954	1534	72
955	1535	70
956	1537	69
957	1538	67
958	1539	65
959	1541	64
960	1542	62
961	1544	60
962	1545	59
963	1548	57
964	1550	56
965	1551	54
966	1552	52
967	1554	51
968	1555	49
969	1557	48
970	1558	46
971	1560	44
972	1565	43
973	1567	41
974	1569	40
975	1570	38
976	1571	37
977	1573	35
978	1574	33
979	1576	32
980	1578	30
981	1580	28
982	1582	27
983	1583	25
984	1585	24
985	1586	22
986	1587	20
987	1589	19
988	1590	17
989	1591	16
990	1593	14
991	1595	12
992	1597	11
993	1598	9
994	1600	8
995	1601	6
996	1602	4
997	1604	3
998	1605	1
999	1607	0
