iter	Passed	Remaining
399	44578	66867
400	44714	66793
401	44836	66696
402	44942	66577
403	45032	66434
404	45138	66315
405	45243	66194
406	45356	66084
407	45499	66018
408	45600	65892
409	45721	65794
410	45857	65718
411	45972	65610
412	46083	65498
413	46208	65406
414	46328	65306
415	46443	65199
416	46561	65096
417	46682	64997
418	46801	64895
419	46910	64781
420	47024	64672
421	47126	64547
422	47234	64431
423	47389	64377
424	47518	64289
425	47629	64176
426	47747	64072
427	47857	63959
428	47984	63867
429	48080	63734
430	48207	63643
431	48318	63529
432	48420	63404
433	48536	63298
434	48645	63183
435	48754	63067
436	48831	62910
437	48948	62806
438	49078	62717
439	49185	62599
440	49301	62493
441	49399	62363
442	49512	62253
443	49622	62140
444	49748	62046
445	49893	61975
446	50036	61901
447	50155	61798
448	50265	61684
449	50374	61568
450	50489	61460
451	50613	61362
452	50741	61270
453	50862	61169
454	50975	61058
455	51096	60957
456	51207	60843
457	51340	60756
458	51447	60638
459	51574	60543
460	51674	60417
461	51790	60310
462	51905	60201
463	52005	60075
464	52112	59956
465	52232	59854
466	52344	59742
467	52453	59626
468	52548	59495
469	52649	59371
470	52728	59221
471	52829	59097
472	52929	58971
473	53038	58856
474	53160	58756
475	53293	58668
476	53420	58571
477	53538	58467
478	53632	58334
479	53743	58222
480	53847	58101
481	53940	57969
482	54044	57848
483	54151	57732
484	54275	57632
485	54386	57519
486	54490	57399
487	54607	57293
488	54705	57166
489	54798	57034
490	54919	56933
491	55011	56800
492	55112	56677
493	55237	56579
494	55349	56467
495	55463	56358
496	55587	56258
497	55705	56152
498	55802	56026
499	55907	55907
500	56005	55781
501	56122	55675
502	56224	55553
503	56345	55451
504	56460	55342
505	56564	55222
506	56674	55109
507	56785	54997
508	56884	54873
509	56986	54751
510	57100	54642
511	57194	54513
512	57318	54413
513	57417	54289
514	57515	54165
515	57632	54058
516	57742	53945
517	57849	53828
518	57945	53703
519	58039	53575
520	58129	53443
521	58239	53330
522	58340	53209
523	58444	53090
524	58554	52978
525	58660	52861
526	58767	52745
527	58881	52636
528	58985	52518
529	59099	52408
530	59208	52295
531	59323	52186
532	59438	52077
533	59548	51965
534	59678	51870
535	59797	51765
536	59892	51639
537	59998	51523
538	60113	51414
539	60217	51296
540	60348	51201
541	60476	51104
542	60599	51001
543	60711	50890
544	60826	50781
545	60928	50662
546	61031	50543
547	61152	50439
548	61270	50333
549	61372	50213
550	61487	50104
551	61589	49985
552	61703	49875
553	61797	49750
554	61907	49637
555	62015	49522
556	62132	49416
557	62263	49319
558	62377	49210
559	62494	49103
560	62606	48991
561	62735	48893
562	62860	48792
563	62978	48685
564	63102	48583
565	63223	48478
566	63324	48359
567	63433	48245
568	63512	48108
569	63635	48005
570	63728	47880
571	63848	47774
572	63969	47669
573	64064	47546
574	64161	47423
575	64284	47320
576	64395	47208
577	64508	47097
578	64619	46986
579	64729	46873
580	64838	46759
581	64948	46646
582	65056	46532
583	65169	46422
584	65272	46304
585	65381	46191
586	65486	46074
